"word";"pseudo";"random";"foreign";"logFreqW";"logFreqPW";"logFreqRS"
"kuiten";"";"utnkie";0;13.7705131920335;NA;1.79175946922805
"kleintje";"steintje";"";0;14.2979367072086;10.0604913013458;NA
"postuur";"kontuur";"";0;13.5973545481611;12.8815648908514;NA
"koning";"";"kngoin";0;17.0223138015982;NA;7.13886699994552
"genre";"enren";"";1;20.6190158155726;12.1960223096767;NA
"puber";"";"berpu";0;17.7933213039304;NA;11.0806029026922
"speler";"sleger";"";0;16.9156028468425;14.2917447369606;NA
"contact";"";"cctaotn";1;23.1184301112336;NA;0
"laars";"";"alasr";0;16.1280459818115;NA;14.2601963792257
"muren";"";"emrun";0;16.6834094600084;NA;10.1619982476876
"maling";"";"nagilm";0;17.2905777881929;NA;5.06259503302697
"zusjes";"lasjes";"";0;14.5809784001038;9.69276652122048;NA
"sector";"";"estocr";1;20.97790805532;NA;7.99631723179675
"takje";"tokje";"";0;13.3534750983677;9.38429367909962;NA
"peuters";"neusers";"";0;16.666217059468;13.8831692064381;NA
"orgie";"";"riego";1;19.1138279245123;NA;17.9312904009064
"krijger";"krijner";"";0;14.0623706358958;6.67708346124714;NA
"klavier";"klaaien";"";1;17.1583723626135;8.83200393125627;NA
"holtes";"holles";"";0;12.9456261989043;13.8831692064381;NA
"doctor";"";"ctrood";1;21.6315243971233;NA;9.05134464048573
"peter";"leter";"";1;21.2420596303616;16.9893890169017;NA
"salon";"";"naols";1;21.0668555413365;NA;11.2618967101665
"woord";"roord";"";0;17.6397946490844;12.5532021766254;NA
"perrons";"";"orerspn";1;16.6719807641848;NA;9.0395520509959
"lichtje";"wichtse";"";0;13.578521599828;7.45587668749182;NA
"proton";"";"tpoonr";1;18.7713376155655;NA;6.19847871649231
"diners";"";"nsdrie";1;19.9045554334111;NA;8.6447065117152
"dutje";"detje";"";0;14.0386541092785;11.870599909242;NA
"cakes";"";"ackse";1;21.4063626816529;NA;10.1145585226161
"poosje";"boosie";"";0;13.7663203137735;15.2067924605952;NA
"moeite";"";"mietoe";0;16.9200972364303;NA;9.00085314710946
"bonbons";"bannons";"";1;18.2037677423888;16.2134058307626;NA
"zetels";"istels";"";0;16.2224556662826;9.29651806821724;NA
"varken";"";"rnvaek";0;17.1405465786609;NA;5.33753807970132
"truck";"";"kucrt";1;21.5987345743003;NA;8.74989095553526
"donor";"";"dnoro";1;19.380030965287;NA;8.67248607582227
"schelp";"schebe";"";0;14.4781985310395;14.1731850022361;NA
"zijde";"zilde";"";0;16.630919277387;10.9784899755651;NA
"gezag";"";"zgaeg";0;14.7437298607037;NA;5.18178355029209
"walging";"dalving";"";0;12.0951410848229;9.53964411911878;NA
"bakkers";"";"resbakk";0;17.4291275275777;NA;9.23014299927236
"rally";"ralle";"";1;19.6473930352478;14.5948354347653;NA
"onzin";"";"inzno";0;15.2902735670718;NA;13.7101500423064
"feiten";"leiten";"";0;16.4965320866786;16.5498780673839;NA
"printer";"pritter";"";1;20.5369362587549;10.1185989321531;NA
"paniek";"madiek";"";0;15.3151336043912;12.3458345879053;NA
"stuiver";"stuiren";"";0;13.8044496106048;6.34388043412633;NA
"kunst";"";"tnusk";1;20.2387575214978;NA;7.62559507213245
"oorbel";"oornen";"";0;15.6205152539423;10.3889953683178;NA
"liedje";"";"jeield";0;16.3004172077523;NA;6.68461172766793
"mixer";"bieer";"";1;19.8675997268887;10.9954108530534;NA
"ethiek";"striek";"";0;14.523546351018;20.4167406766932;NA
"trucje";"troche";"";0;13.9725143067739;17.8585618257988;NA
"derden";"";"dedren";0;16.6719807641848;NA;11.9447078813958
"plasje";"";"lsjpea";0;12.4490188241406;NA;0
"parken";"";"pnrkae";1;17.8811126513207;NA;1.38629436111989
"beitels";"deibels";"";0;14.523546351018;13.3439056473516;NA
"heren";"";"ehrne";0;17.8672955057676;NA;9.78131991856192
"toontjes";"";"jeonttso";0;9.52515111181622;NA;0
"nestje";"";"enejts";0;13.3455069287185;NA;1.09861228866811
"helften";"helfden";"";0;13.7757296879524;8.32603268595508;NA
"klopje";"";"lpjoek";0;12.3673407931263;NA;1.09861228866811
"wijnen";"wienen";"";0;15.8886824866305;13.3676597333597;NA
"premiers";"primmers";"";1;21.2179620787825;13.7922419310249;NA
"lampen";"sampen";"";1;17.898119863968;12.618182296357;NA
"winsten";"vinsten";"";0;14.3402390868993;15.5238884182533;NA
"glimp";"";"lipmg";0;14.0545274584348;NA;6.74405918631135
"kerels";"";"eklsre";0;14.5036451967007;NA;9.59560277276683
"dutjes";"doutje";"";0;11.3409502002304;9.89343721668263;NA
"regels";"megels";"";0;17.3180604338867;13.0170028617465;NA
"surfer";"";"ufrers";1;19.5292433634736;NA;1.79175946922805
"vogels";"dogels";"";0;18.8844147601845;10.0168162378431;NA
"zanger";"";"raznge";0;15.6780390980805;NA;3.68887945411394
"troepen";"";"eeoprtn";0;14.5478784516775;NA;0
"gepiep";"gemied";"";0;11.7035458245789;7.24422751560335;NA
"hendel";"heneel";"";0;15.7770128017794;9.70503661381229;NA
"haltes";"";"etsahl";0;17.6221730477346;NA;7.24422751560335
"mosterd";"mosters";"";0;14.7748607792989;16.6368894443735;NA
"paadjes";"pardies";"";0;12.3925522124728;13.4966817565157;NA
"strikje";"strekje";"";0;13.5184513236999;11.6699292137799;NA
"lotion";"";"notoil";1;19.4749927737239;NA;16.3332070305753
"cellen";"";"ecnlel";0;15.5256983734985;NA;4.39444915467244
"lengte";"";"lnegte";0;17.6528100171965;NA;6.78445706263764
"wereld";"";"erdlwe";0;18.3351228555907;NA;1.94591014905531
"knapen";"";"kanenp";0;14.5430591652416;NA;7.89729647259588
"respons";"renkons";"";1;17.463568017558;12.8400004664301;NA
"ambten";"";"temabn";0;13.0562235748998;NA;7.74066440191724
"geest";"jeest";"";0;16.606675665777;10.797532675463;NA
"moment";"dolent";"";1;22.0041996824085;14.6396860009306;NA
"dragers";"brogers";"";0;16.9466474685245;14.0931422945626;NA
"boeven";"moeven";"";0;13.6435352932245;10.2363819678095;NA
"snobs";"";"sbsno";1;17.6019703404171;NA;11.7905572015685
"padje";"wadje";"";0;12.0951410848229;11.1954712341848;NA
"kreeft";"kreegt";"";0;15.3195879547405;9.14633504200027;NA
"stijl";"";"ltsji";0;17.9775137686602;NA;7.3132203870903
"brommer";"";"rmrembo";0;14.576316386998;NA;1.6094379124341
"vondst";"voneet";"";0;14.5382165407658;8.82614739914356;NA
"luikje";"huikje";"";0;11.7675676833438;7.64012317269536;NA
"drukkers";"vrekkers";"";0;14.801327352487;2.19722457733622;NA
"sjaal";"";"slaja";0;16.0508869012649;NA;10.8297286152635
"humeur";"tumeur";"";1;17.548406897495;15.8937013177425;NA
"feite";"";"iefte";0;15.9508597315824;NA;10.4370526632716
"dienst";"";"nisdet";1;18.6438242952666;NA;8.42068229103539
"reeks";"";"reske";0;17.6762402690049;NA;13.1577305212416
"lectuur";"vertuur";"";0;13.4814354459428;9.74096862303835;NA
"talent";"malent";"";1;21.0597380735676;11.5327280922664;NA
"welpen";"";"wpnele";1;16.6005218002026;NA;2.30258509299405
"fauna";"";"fnaau";1;19.0304463155733;NA;7.03878354138854
"villa";"";"llaiv";1;21.2179620787825;NA;9.26860928010016
"stront";"stoont";"";0;14.3520039284788;9.67407438820832;NA
"shows";"";"ohsws";1;23.2098377660535;NA;7.46164039220858
"mantels";"fangels";"";0;18.8906843731981;13.3277502071293;NA
"naties";"nettes";"";0;15.5802413548044;18.7713376155655;NA
"larven";"";"lravne";1;14.5186080693774;NA;6.87935580446044
"breiwerk";"breiters";"";0;13.4730202490175;16.4401791501274;NA
"herten";"henten";"";0;16.3571125514288;12.6946526603488;NA
"taboes";"";"taosbe";0;13.311329476917;NA;8.13739583005665
"beklag";"";"lkgeba";1;15.6303353001233;NA;3.17805383034795
"starters";"starkers";"";1;20.5113094750228;17.2843665881002;NA
"vosje";"";"svjeo";0;12.8103886123835;NA;5.85220247977447
"pauzen";"meuzen";"";0;10.312280450737;8.70450228972123;NA
"koste";"";"otske";1;16.5818296671905;NA;9.0583540149783
"zwaan";"zwaal";"";0;15.4209404490008;12.0435537160324;NA
"keeltje";"weeltje";"";0;11.8913619006905;9.39266192877014;NA
"index";"";"inxed";1;22.5380905791055;NA;9.29651806821724
